what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321746383323
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321746385913
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321746386927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321746390874
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1321746518529
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321746524519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321746527468
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321746779634
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321746792909
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321746795358
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321746928130
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321746940080
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321746959533
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321746988736
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321747028929
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1321747031815
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321747040613
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1321747044030
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321747046744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321747109098
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321747172881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1321747205892
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321747211664
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321747234394
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321747257294
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321747266857
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1321747275968
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1321747280008
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1321747283471
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321747286856
