what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321776441235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321776449776
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321776452976
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321776464391
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321776561956
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321776662914
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321776706059
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1321776706511
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321776706824
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321776708192
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321776710039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321776713583
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321776716930
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321776719133
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321776788372
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321776789616
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321776807073
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321776808387
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1321776808680
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321776808988
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321776809648
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321776816054
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1321776818234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321776826594
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1321776826947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321776827288
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321776827762
